الفعل,المسار,الاسم,المتحكّم,الوسطاء,التصنيف,ملاحظة
GET,/.well-known/apple-app-site-association,mobile.aasa,"Web\MobileWellKnownController@appleAppSiteAssociation","web · throttle:60,1","عامٌّ مقصود","وثيقةُ App Links — تفرضها Apple/Google عند الجذر بلا مصادقة · خانق 60/د · NOT_CONFIGURED"
GET,/.well-known/assetlinks.json,mobile.assetlinks,"Web\MobileWellKnownController@assetLinks","web · throttle:60,1","عامٌّ مقصود","وثيقةُ App Links (Android) — كسابقتها · خانق 60/د"
GET,/,dashboard,"Web\DashboardController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/acks/{module}/{id},acks.store,"Web\AckController@store","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/acks/{module}/{id}/remind,acks.remind,"Web\AckController@remind","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/activate/{token},activate.show,"Web\ActivationController@show","web · throttle:10,1","عامٌّ مقصود","تفعيلُ حسابِ عميلٍ قبل وجودِ حساب — رمزٌ لمرّةٍ · خانق 10/د"
POST,/activate/{token}/otp,activate.otp,"Web\ActivationController@otp","web · throttle:10,1","عامٌّ مقصود","تفعيلٌ — رمزُ OTP · خانق 10/د"
POST,/activate/{token}/set,activate.set,"Web\ActivationController@set","web · throttle:10,1","عامٌّ مقصود","تفعيلٌ — ضبطُ كلمةِ السرّ · خانق 10/د"
GET,/admin/access,access.index,"Web\AccessController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/access/role/{role},access.role,"Web\AccessController@role","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/activity,activity.index,"Web\ActivityController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/activity/{id},activity.show,"Web\ActivityController@show","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/alerts,alerts.center,"Web\AlertCenterController@index","web · auth · throttle:60,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/alerts/{id}/ack,alerts.ack,"Web\AlertCenterController@ack","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
POST,/admin/alerts/{id}/incident,alerts.incident,"Web\AlertCenterController@incident","web · auth · throttle:30,1",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/audit,audit.index,"Web\AuditController@index","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
GET,/admin/audit/coverage,audit.coverage,"Web\AuditController@coverage","web · auth",محروس,"جلسةُ ويبٍ + PortalGuard + SessionSentry + التخويلُ في المتحكّم"
